"year","industry_branch","avg_wage","food_category","avg_price","unit"
2006,,19536,Cukr krystalový,21.726199999999995,kg
2006,,19536,Eidamská cihla,110.94640000000003,kg
2006,,19536,Chléb konzumní kmínový,16.1234,kg
2006,,19536,Mrkev,14.409799999999997,kg
2006,,19536,Mléko polotučné pasterované,14.437999999999999,l
2006,,19536,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,,19536,Kapr živý,69.35000000000001,kg
2006,,19536,Konzumní brambory,12.075399999999997,kg
2006,,19536,Pšeničná mouka hladká,7.407199999999998,kg
2006,,19536,Vepřová pečeně s kostí,105.17739999999998,kg
2006,,19536,Pečivo pšeničné bílé,38.596799999999995,kg
2006,,19536,Pomeranče,24.73379999999999,kg
2006,Informační a komunikační činnosti,35793,Máslo,104.38779999999998,kg
2006,Informační a komunikační činnosti,35793,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Informační a komunikační činnosti,35793,Papriky,35.310199999999995,kg
2006,Informační a komunikační činnosti,35793,Kuřata kuchaná celá,47.47420000000001,kg
2006,Informační a komunikační činnosti,35793,Jogurt bílý netučný,5.829,g
2006,Informační a komunikační činnosti,35793,Šunkový salám,116.77419999999996,kg
2006,Informační a komunikační činnosti,35793,Jablka konzumní,30.714799999999986,kg
2006,Informační a komunikační činnosti,35793,Těstoviny vaječné,26.095600000000005,kg
2006,Informační a komunikační činnosti,35793,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Informační a komunikační činnosti,35793,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Informační a komunikační činnosti,35793,Banány žluté,27.30520000000001,kg
2006,Informační a komunikační činnosti,35793,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Informační a komunikační činnosti,35793,Vejce slepičí čerstvá,23.494,ks
2006,Informační a komunikační činnosti,35793,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Informační a komunikační činnosti,35793,Cukr krystalový,21.726199999999995,kg
2006,Informační a komunikační činnosti,35793,Eidamská cihla,110.94640000000003,kg
2006,Informační a komunikační činnosti,35793,Chléb konzumní kmínový,16.1234,kg
2006,Informační a komunikační činnosti,35793,Mrkev,14.409799999999997,kg
2006,Informační a komunikační činnosti,35793,Mléko polotučné pasterované,14.437999999999999,l
2006,Informační a komunikační činnosti,35793,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Informační a komunikační činnosti,35793,Kapr živý,69.35000000000001,kg
2006,Informační a komunikační činnosti,35793,Konzumní brambory,12.075399999999997,kg
2006,Informační a komunikační činnosti,35793,Pšeničná mouka hladká,7.407199999999998,kg
2006,Informační a komunikační činnosti,35793,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Informační a komunikační činnosti,35793,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Informační a komunikační činnosti,35793,Pomeranče,24.73379999999999,kg
2006,Doprava a skladování,19257,Máslo,104.38779999999998,kg
2006,Doprava a skladování,19257,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Doprava a skladování,19257,Papriky,35.310199999999995,kg
2006,Doprava a skladování,19257,Kuřata kuchaná celá,47.47420000000001,kg
2006,Doprava a skladování,19257,Jogurt bílý netučný,5.829,g
2006,Doprava a skladování,19257,Šunkový salám,116.77419999999996,kg
2006,Doprava a skladování,19257,Jablka konzumní,30.714799999999986,kg
2006,Doprava a skladování,19257,Těstoviny vaječné,26.095600000000005,kg
2006,Doprava a skladování,19257,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Doprava a skladování,19257,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Doprava a skladování,19257,Banány žluté,27.30520000000001,kg
2006,Doprava a skladování,19257,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Doprava a skladování,19257,Vejce slepičí čerstvá,23.494,ks
2006,Doprava a skladování,19257,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Doprava a skladování,19257,Cukr krystalový,21.726199999999995,kg
2006,Doprava a skladování,19257,Eidamská cihla,110.94640000000003,kg
